epoch,iou,dice,precision,recall,train_loss,train_seconds,validation_seconds,lr_used
1,0.42458745367372697,0.5960847859200228,0.5846745604748108,0.6079492285099446,0.3390928027743385,519.0714084490028,16.451076976023614,0.0001
2,0.3517096554882903,0.5203923106715385,0.4243632696394331,0.6725932394819013,0.14188137326921735,505.92727991900756,17.06533344500349,0.0001
3,0.43214381550960096,0.6034922063407869,0.5905856781496122,0.6169754507591669,0.13157424290974934,510.27541532798205,21.45368431098177,0.0001
4,0.401949464839796,0.5734150551364242,0.5064151020175272,0.6608466830812156,0.1267391542025975,505.89438642401365,16.731516209983965,0.0001
5,0.42338165968507996,0.5948954826054906,0.596531719277006,0.5932681975015697,0.12241287865809032,498.31808365299366,16.916437993990257,0.0001
6,0.4153060392665689,0.586878071235796,0.6109928040837188,0.5645945883936161,0.12178856115965617,503.38277524799923,20.93849331801175,0.0001
7,0.4303242949308718,0.6017157038525582,0.5923449202335471,0.6113877412669583,0.11801538380838576,501.3994537219987,17.518388230004348,0.0001
8,0.39519923856277883,0.5665129791353399,0.48645140373879026,0.6781199102861156,0.11189956821146466,502.0141156819882,16.74273833699408,5e-05
9,0.4159630998769706,0.5875338134349866,0.5572390613787093,0.6213119392972413,0.11016816506783167,504.1616279039881,16.327651045983657,5e-05
10,0.3817684301247201,0.552579465273007,0.48242456879497936,0.6466105274276551,0.10670356153022675,500.4006723090133,17.211869498016313,5e-05
