epoch,phase,epoch_seconds,train_loss,samples,steps,train_structural_wall/raw_loss,train_structural_wall/weighted_loss,train_wall_boundary/raw_loss,train_wall_boundary/weighted_loss,train_wall_centerline/raw_loss,train_wall_centerline/weighted_loss,train_junction/raw_loss,train_junction/weighted_loss,train_endpoint/raw_loss,train_endpoint/weighted_loss,train_door_opening/raw_loss,train_door_opening/weighted_loss,train_window_opening/raw_loss,train_window_opening/weighted_loss,train_fixtures/raw_loss,train_fixtures/weighted_loss,train_component/wall_boundary/bce,train_component/wall_boundary/dice,train_component/wall_centerline/bce,train_component/wall_centerline/cldice,train_component/door_opening/focal,train_component/door_opening/dice,train_component/window_opening/focal,train_component/window_opening/dice,train_component/fixtures/cabinetry_storage,train_component/fixtures/appliance,train_component/fixtures/toilet_urinal,train_component/fixtures/sink_tap,train_component/fixtures/sauna_bench,train_component/fixtures/fireplace,train_component/fixtures/bathtub_shower_jacuzzi,train_component/fixtures/chimney,train_component/fixtures/other_fixture,train_structural_wall/positive_pixel_prevalence,train_structural_wall/nonempty_mask_rate,train_structural_wall/weight,train_wall_boundary/positive_pixel_prevalence,train_wall_boundary/nonempty_mask_rate,train_wall_boundary/weight,train_wall_centerline/positive_pixel_prevalence,train_wall_centerline/nonempty_mask_rate,train_wall_centerline/weight,train_junction/positive_pixel_prevalence,train_junction/nonempty_mask_rate,train_junction/weight,train_endpoint/positive_pixel_prevalence,train_endpoint/nonempty_mask_rate,train_endpoint/weight,train_door_opening/positive_pixel_prevalence,train_door_opening/nonempty_mask_rate,train_door_opening/weight,train_window_opening/positive_pixel_prevalence,train_window_opening/nonempty_mask_rate,train_window_opening/weight,train_fixtures/positive_pixel_prevalence,train_fixtures/nonempty_mask_rate,train_fixtures/weight,lr/new_paths,val_loss,val_structural_wall_iou,val_structural_wall_dice,val_structural_wall_iou_at_0.1,val_structural_wall_dice_at_0.1,val_structural_wall_iou_at_0.5,val_structural_wall_dice_at_0.5,val_visible_wall_iou,val_visible_wall_dice,val_structural_wall_precision,val_structural_wall_recall,val_structural_wall_micro_iou,val_wall_boundary_iou,val_wall_boundary_dice,val_wall_boundary_precision,val_wall_boundary_recall,val_wall_boundary_boundary_f1_2px,val_wall_centerline_iou,val_wall_centerline_dice,val_wall_centerline_precision,val_wall_centerline_recall,val_wall_centerline_skeleton_cldice,val_junction_iou,val_junction_dice,val_junction_precision,val_junction_recall,val_junction_f1_5px,val_endpoint_iou,val_endpoint_dice,val_endpoint_precision,val_endpoint_recall,val_endpoint_f1_5px,val_door_opening_iou,val_door_opening_dice,val_door_opening_precision,val_door_opening_recall,val_door_opening_object_f1,val_window_opening_iou,val_window_opening_dice,val_window_opening_precision,val_window_opening_recall,val_window_opening_object_f1,val_fixtures_iou,val_fixtures_dice,val_fixtures_precision,val_fixtures_recall,val_fixtures_macro_iou,val_fixture_cabinetry_storage_iou,val_fixture_appliance_iou,val_fixture_toilet_urinal_iou,val_fixture_sink_tap_iou,val_fixture_sauna_bench_iou,val_fixture_fireplace_iou,val_fixture_bathtub_shower_jacuzzi_iou,val_fixture_chimney_iou,val_fixture_other_fixture_iou,val_hierarchical_score,val_structural_wall_iou_at_baseline_threshold,wall_floor,wall_gate_passed,val_gated_hierarchical_score,gpu_max_memory_allocated_gb,lr/encoder,lr/wall_path
1,heads_warmup,402.8239908218384,0.19157306397954624,4200,1050,0.08603996251310621,0.03441598500524246,0.4266120110523133,0.034128960884185044,0.18413493101440725,0.022096191721728865,0.02277907672293839,0.0011389538361469187,0.010143404245332239,0.00030430212735996654,0.2600590328091667,0.031207083937100023,0.2665720133412452,0.0319886416009495,0.4536618438504991,0.03629294750803989,0.3576592354689326,0.495564788097427,0.23827233313095003,0.12999752873466128,0.057606924221008306,0.46251114142792565,0.061771960406608525,0.47137206622532435,0.3373341997890245,0.42363211603391737,0.4078098002572854,0.4750790302810215,0.42064918833829107,0.500773057228043,0.504964434674808,0.5024574756622314,0.5102572608561743,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087954285244,0.9959523809523809,0.08,0.0001,0.1441813676059246,0.8188460992164052,0.9004017432471942,0.8188460992164052,0.9004017432471942,0.8179802285126291,0.8998780247262154,0.7773340793374713,0.8747191519865918,0.9109242729543523,0.8901195391478047,0.8188460992164052,0.219224297432436,0.3596127437651962,0.2212881898773691,0.9591919661605197,0.9240718465477312,0.6312312074371077,0.7739322354295319,0.7565863781690738,0.7920921139877685,0.4949044072570004,0.026725068240969974,0.0520588598986027,0.3988253126184161,0.027846862101809717,0.27169135864113186,0.0,0.0,1.0,0.0,0.115,0.5263728366968082,0.6897041457261789,0.5669996026442221,0.8801852916260281,0.813056510962235,0.6317696919929837,0.7743368382107445,0.6636799883620995,0.929277326719936,0.7946554331537402,0.25490416790315484,0.40625280307910594,0.27931621672176615,0.7446729967600659,0.22080851546695598,0.4833949040455441,0.3326232295796059,0.4311992197326437,0.21375439327089116,0.4688602053833952,0.02303165899981439,0.019310946070976352,0.0005221851914423062,0.014579896928290604,0.671622678957385,0.8188460992164052,0.8138460992164052,True,0.671622678957385,10.07205376,,
2,heads_warmup,421.96707010269165,0.12956040885476838,4200,1050,0.08603996255568096,0.03441598502227238,0.24202564477920532,0.01936205158233641,0.10882289405025188,0.013058747286030233,0.01014312616593781,0.0005071563082968905,0.005688783733972481,0.00017066351201917455,0.14091032169049694,0.016909238602859644,0.12558799598898207,0.015070559518677867,0.37582510511080425,0.030066008408864323,0.21612333368687403,0.267927956027644,0.14040690654090474,0.0772388818008559,0.062675269140108,0.21914537436905362,0.06496168863172422,0.18621430372908002,0.2550529427755447,0.3007637309176581,0.23657908430411703,0.3156024689617611,0.28352053780286085,0.4839155623742512,0.4977793853055863,0.5002627508980887,0.5089494551363446,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.0046280879517351945,0.9959523809523809,0.08,0.0001,0.1362902221828699,0.8188460992164052,0.9004017432471942,0.8188460992164052,0.9004017432471942,0.8179802285126291,0.8998780247262154,0.7824926163771012,0.8779757169120956,0.9109242729543523,0.8901195391478047,0.8188460992164052,0.22961880986125596,0.3734796638108765,0.23207501141257483,0.955938613054675,0.9342361306890904,0.647568329027618,0.7860897998807829,0.7533938877487482,0.8217523435458975,0.4935469097749259,0.026776041261695565,0.052155563016046506,0.5676061754848635,0.027333580273044767,0.2971631176284634,1.3610256689441163e-05,2.7220142905750256e-05,0.1111111111111111,1.361173876350965e-05,0.11583333333333334,0.5358491291568431,0.6977887593047838,0.5725893539295184,0.8930607765345339,0.832364272349754,0.6507661736643611,0.7884413723111301,0.68502542169032,0.928634092825798,0.8186379740867576,0.3184290334014253,0.4830431146982675,0.34922432746600846,0.7831293785876279,0.2928922385817013,0.520835049282047,0.45453946299374903,0.49985263077829967,0.368932455392642,0.5385498271870682,0.18529264918929095,0.03232808453388994,0.021052788414261663,0.014647199464063095,0.6853560147828749,0.8188460992164052,0.8138460992164052,True,0.6853560147828749,10.07205376,,
3,heads_warmup,401.7855341434479,0.12227735206484795,4200,1050,0.08603996248472305,0.03441598499388922,0.23035129893393744,0.01842810391471499,0.10097770140994163,0.012117324169192993,0.00833703906984911,0.0004168519534924551,0.004717534875519396,0.00014152604626558175,0.12697573445737362,0.01523708813488481,0.11263270369243054,0.013515924443091677,0.35005687245300837,0.0280045497962407,0.2084980861345927,0.25220451161974955,0.1308042646767128,0.07115113854408264,0.057122690913134384,0.19682877770492008,0.060165581199273996,0.16509982625643413,0.2287980880623772,0.2603034123423554,0.1930481399347385,0.26266226586131824,0.2624716082463662,0.4493148042332558,0.48931590020656585,0.4964827728839148,0.5081148344278336,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087947189453,0.9959523809523809,0.08,0.0001,0.13376274697482585,0.8188460992164052,0.9004017432471942,0.8188460992164052,0.9004017432471942,0.8179802285126291,0.8998780247262154,0.7833100991286015,0.8784900612757803,0.9109242729543523,0.8901195391478047,0.8188460992164052,0.23184070526895162,0.37641345066338444,0.23435859217121296,0.9557113548464122,0.9364952468823986,0.6535149361334899,0.7904554375077395,0.749611884063852,0.8360063001974126,0.5055524901294889,0.1064536704022661,0.19242318634735683,0.5607864680481386,0.11613662821462589,0.5365094439220648,0.00028547347815448195,0.0005707840126116087,0.1794871794871795,0.0002858465140337027,0.13305344655344656,0.542334214506509,0.7032641944989028,0.5760131681184313,0.9026818419413564,0.836206890447267,0.6632187247903899,0.7975123354554263,0.6981530236816774,0.9298455166597579,0.842147332558005,0.3441685814346436,0.5120913941721644,0.3765916360452779,0.7998997627007634,0.3309968102490306,0.566792088640877,0.47680572303150637,0.5479074686054197,0.4088290310512533,0.6527717555435955,0.2128335543669936,0.05943866562112759,0.03319581935181543,0.02039718602868718,0.7061564612369567,0.8188460992164052,0.8138460992164052,True,0.7061564612369567,10.07205376,,
4,heads_warmup,405.02051997184753,0.11772916284345446,4200,1050,0.08603996249891463,0.03441598499956584,0.22424459705750147,0.017939567764600088,0.09662987813708328,0.01159558537644998,0.00743674264178567,0.00037183713208928344,0.004433634272177836,0.0001330090281653351,0.11674850774662836,0.014009820929595395,0.10416531079936595,0.012499837295923926,0.33454401751359303,0.026763521401087446,0.20286907496906462,0.2456201186918077,0.12547450135861124,0.06778525521357855,0.0525380570423745,0.18095895876487098,0.05617415211252159,0.15215646918330875,0.21335689851215908,0.2369126408511684,0.16976929742665517,0.23937762938085055,0.251944022345401,0.43081812698216665,0.4721740044298626,0.4893440261057445,0.5071994775817508,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087948963401,0.9959523809523809,0.08,0.0001,0.13217690020799636,0.8188460992164052,0.9004017432471942,0.8188460992164052,0.9004017432471942,0.8179802285126291,0.8998780247262154,0.785802262955319,0.880055176607176,0.9109242729543523,0.8901195391478047,0.8188460992164052,0.22707020841932335,0.37010141206480546,0.22932966868154855,0.9584148897064599,0.9327457062561844,0.656517599968861,0.7926479018166812,0.7562559179285094,0.8327194046491727,0.51119190948464,0.18085900081055192,0.306317690234666,0.5824224717101458,0.20780505873637423,0.666261223105623,0.00012241566920565832,0.00024480137088767696,0.14285714285714285,0.00012250564887158685,0.11834294871794873,0.537633868748558,0.6993002426333453,0.5714946466374072,0.9007351983994264,0.832936010891839,0.6719445487732449,0.8037880792951781,0.7113563898395446,0.9238277062279335,0.8573709924099725,0.44779564053303983,0.6185895688540316,0.5050851525244695,0.7978952431898199,0.36979248805746223,0.5800184848379477,0.516554208395024,0.5865069389220943,0.436949950256371,0.6857661193545199,0.3276918095597858,0.11177152506483151,0.04696409639244677,0.0359092597341394,0.7171723589877506,0.8188460992164052,0.8138460992164052,True,0.7171723589877506,10.07205376,,
5,joint_finetune,720.2633047103882,0.11512349246513276,4200,1050,0.08601956418582371,0.03440782567432946,0.22103789169163932,0.017683031335331105,0.09373205405615626,0.011247846486738756,0.006980120495538271,0.0003490060247769134,0.0043028481306862975,0.000129085443920589,0.111758541553503,0.013411024986420366,0.0998714856200275,0.01198457827440331,0.3238886925294286,0.025911095402354273,0.2002572446990581,0.24181853862035843,0.12210012016197046,0.0653639876700583,0.05015778503447239,0.17335929793970925,0.05281789149468144,0.14692507953870865,0.20544849957029024,0.22331465122955185,0.1565360422964607,0.22519628298424538,0.24634771742104064,0.42135953669037135,0.44327570480959755,0.4867781900224232,0.5067415687583742,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087946191607,0.9959523809523809,0.08,0.0001,0.12969016507267953,0.8210143780651508,0.9017110330973753,0.8210143780651508,0.9017110330973753,0.819777576705791,0.9009645873203623,0.7845882744577553,0.8792933201313915,0.9145061269928846,0.8892690379018506,0.8210143780651508,0.23214691009940888,0.37681693342992584,0.23458791192571815,0.9571000386443681,0.9349801659307082,0.6565242660245738,0.7926527603487996,0.7737160840850252,0.8125396419419804,0.5190707115104154,0.13314903729569813,0.23500710482614576,0.6146784882679563,0.14527463223621548,0.6183411954791975,1.3610627177700348e-05,2.7220883862099003e-05,0.14285714285714285,1.361173876350965e-05,0.11725,0.5270299358049816,0.6902679815863009,0.5534413151214795,0.9169692442336693,0.8311894820214185,0.6477137643761098,0.7861969455858252,0.6724274526931633,0.9463042639260139,0.8129598054107123,0.3739475890566304,0.5443403984767533,0.4111796457367125,0.8050592885733555,0.37750182334764354,0.6146683263392719,0.526064022793113,0.5911933924872785,0.4580419701639492,0.6480614154944595,0.3288701426904783,0.15651338241328877,0.04643530295641171,0.027668454790540614,0.71275550982211,0.8210143780651508,0.8138460992164052,True,0.71275550982211,10.705864704,1e-05,1e-05
6,joint_finetune,665.3858444690704,0.1114341336346808,4200,1050,0.08453384755622773,0.033813539022491075,0.21624408758821942,0.017299527007057558,0.09014150210434482,0.010816980252521391,0.006626886753587141,0.00033134433767935704,0.004166945613743294,0.00012500836841229876,0.10529648885485672,0.012635578662582813,0.0942831441972937,0.011313977303675246,0.31372724999984103,0.02509817999998728,0.19485417158121154,0.23763400452477593,0.11789449203227248,0.062388512038049244,0.04706656574271619,0.1635264118938219,0.04951373017880888,0.13905255844195683,0.19673942975345113,0.2100278985216504,0.14613295395814238,0.21224783643370582,0.23933243471419527,0.41459758640045213,0.41286127023753666,0.48503799668380193,0.5065678166207813,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087944306788,0.9959523809523809,0.08,0.0001,0.12926406655460596,0.8210568264500324,0.9017366339419515,0.8210568264500324,0.9017366339419515,0.8198961438148892,0.9010361900061095,0.7886062567261559,0.8818109114407456,0.9164989399912553,0.8874423505464838,0.8210568264500324,0.2364456613565637,0.3824602548196867,0.2391764287765209,0.9539367510035492,0.9395152094118919,0.6603787076009998,0.7954555241859839,0.7667070506334791,0.8264438923809988,0.524373594183936,0.16829614933374032,0.2881052880807949,0.6303004322509199,0.18672875436554132,0.6652586874877942,0.0001224090093030847,0.00024478805434294807,0.13432835820895522,0.00012250564887158685,0.11357334087481145,0.5500254395663532,0.7096985965859147,0.5855521427260074,0.900651084172306,0.855530644136078,0.674229583777796,0.8054207025256817,0.7047657146762784,0.9396173115682043,0.845923335594138,0.3982090492237998,0.5695987298106261,0.4374322806652143,0.8162094991260377,0.38560873307465016,0.6012121659154694,0.5461216444940517,0.6014975553254953,0.46693159617808067,0.664535994204044,0.3128165971394517,0.2059460052053938,0.044013202487254294,0.027403836722610698,0.7224594836382127,0.8210568264500324,0.8138460992164052,True,0.7224594836382127,10.705864704,1e-05,1e-05
7,joint_finetune,669.7928414344788,0.10738616453040215,4200,1050,0.08281389012223199,0.03312555604889282,0.2099789153252329,0.01679831322601864,0.0851687902957201,0.010220254835486407,0.00634107604378923,0.0003170538021894619,0.004079155067114958,0.0001223746520134488,0.09840043876497519,0.011808052651797019,0.08770449239405848,0.01052453908728701,0.30587526779799235,0.02447002142383936,0.18810127479689462,0.23185655588195436,0.11265238491907006,0.057685195619151704,0.04382418019364455,0.15297669727177848,0.04551539838114487,0.12989358669235593,0.18962297327461697,0.1991057284673055,0.13892227130276816,0.20293281764856408,0.2339758044836067,0.408879379658472,0.3890180914884522,0.48414917258989243,0.5062711396955308,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087957611396,0.9959523809523809,0.08,0.0001,0.1298753087222576,0.8217684898176849,0.9021656642002015,0.8217684898176849,0.9021656642002015,0.8207693871239986,0.9015632544442623,0.788618810434138,0.8818187596302003,0.9152556818898943,0.8894447946913946,0.8217684898176849,0.23863792125150535,0.38532313141258967,0.24144257496037447,0.9535822491441163,0.9401871271168932,0.659619363608362,0.7949043956370943,0.7798341319535955,0.8105686017305658,0.511666012538609,0.2544715075430495,0.4057031283898121,0.5896526499003607,0.30923378135252405,0.7127574752345873,4.0823547021922244e-05,8.164376105592598e-05,0.125,4.0835216290528956e-05,0.111,0.5398916348944267,0.7012073092161983,0.5733733239507235,0.9023974557449016,0.8500342802581841,0.6768122622278199,0.8072606307501643,0.7123395218504466,0.9313678368758844,0.8531708807534515,0.4116465754670117,0.5832147828231407,0.46167881620884094,0.791602442474525,0.3916447937375876,0.6496000250307202,0.545778141424854,0.6037812615879032,0.47516402469428093,0.6989721750711387,0.2729796523215299,0.2083867697935259,0.0385709337839398,0.03157015993039568,0.7245655791292759,0.8217684898176849,0.8138460992164052,True,0.7245655791292759,10.705864704,1e-05,1e-05
8,joint_finetune,706.4511713981628,0.10372383775455611,4200,1050,0.08129142473141353,0.03251656989256542,0.2041056024886313,0.01632844819909051,0.08066783241927623,0.009680139890313135,0.00607815183122598,0.0003039075915612986,0.003931357737275816,0.00011794073211827441,0.09206044248881794,0.011047253098658148,0.0818633110519676,0.009823597326236116,0.29882477128789536,0.02390598170303165,0.1821882706454822,0.22602293434597198,0.10772902309539772,0.05360664173251107,0.04050769664369346,0.1436131883802868,0.04239349791480761,0.12133312424023947,0.1824126462709336,0.1896599604189396,0.13247464744995038,0.19436890863591716,0.22957114075088786,0.4038083947911149,0.36811302993978773,0.4830603700876236,0.5059538080011096,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087953841757,0.9959523809523809,0.08,0.0001,0.1287257518619299,0.8224273375213009,0.9025625555418757,0.8224273375213009,0.9025625555418757,0.8216149868007965,0.9020731523995137,0.7905470811081576,0.8830229480689146,0.9125252476090818,0.8928150537854737,0.8224273375213009,0.23934682640734292,0.38624672498039786,0.24214018490492864,0.9540179146493574,0.9400138835141233,0.6610402921457638,0.7959352885917286,0.7696205749648123,0.8241132033294775,0.5233636139205283,0.28440990185697557,0.4428646983268832,0.6059870884738209,0.3489363953857551,0.737497862085373,5.440252427712646e-05,0.00010879912960696314,0.0625,5.44469550540386e-05,0.10864705882352942,0.5386262674437685,0.7001391810873312,0.5674743195728449,0.9137588845652396,0.8491488408747858,0.673706176799465,0.8050471297032024,0.7099382526524067,0.9295810760588344,0.8602349473474166,0.3903875104995214,0.5615520961624113,0.43007803783162707,0.8088010885236219,0.40789076289273885,0.6381003443667923,0.5728259198441378,0.6185175511909736,0.48299769709441914,0.6959599706006452,0.3348282637542105,0.2369706188455688,0.06042060988433228,0.030395890453569857,0.7293433859089248,0.8224273375213009,0.8138460992164052,True,0.7293433859089248,10.705864704,1e-05,1e-05
9,joint_finetune,668.0855226516724,0.1004164985035147,4200,1050,0.07986037075519561,0.03194414830207825,0.19787965695063273,0.015830372556050614,0.07579032023038183,0.009094838427645816,0.005833386243986232,0.0002916693121993115,0.003797694732257653,0.00011393084196772962,0.08739301197230816,0.010487161436676981,0.07696581924422866,0.009235898309307452,0.29273100647188366,0.023418480517750733,0.17527274869737172,0.22048656510455267,0.10239774013204234,0.04918290043161029,0.037956443713933585,0.13682958039499465,0.03908334629554745,0.11484829215776353,0.17658563430110613,0.17968738033657983,0.12689872155941667,0.18705448450077147,0.2266115288631547,0.39920590950619605,0.35131942648972786,0.4816932664314906,0.5055226765927814,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087953730885,0.9959523809523809,0.08,0.0001,0.12957636725157498,0.8228101750325535,0.902793045927406,0.8228101750325535,0.902793045927406,0.8217163246766876,0.9021342275367963,0.7910540272907238,0.8833391011518827,0.9144922758205567,0.8913893747372847,0.8228101750325535,0.23898618881059214,0.3857770021472398,0.2418150469915487,0.9533340454788708,0.9405835090101433,0.6583798248918125,0.7940036594870697,0.7751389013162234,0.813809555482262,0.5184024764572043,0.2764245256739608,0.4331231813773036,0.6270511534603811,0.3308127844216319,0.7367859283464477,5.4406224072033843e-05,0.00010880652839170351,0.06779661016949153,5.44469550540386e-05,0.10389705882352943,0.567313713212273,0.7239312824610468,0.6063158407060503,0.8981597008737866,0.8677050646485023,0.6721980805339527,0.8039694440018874,0.7011004468529507,0.9422161551766034,0.8506903871345236,0.35181327004103274,0.5205057204836491,0.38049058654949314,0.8235665001782349,0.4072101610411225,0.6199814162686286,0.5642332369808788,0.6092384924563311,0.47950473177516567,0.7228104033224588,0.33835853525232285,0.2447836737530331,0.05946070523162019,0.026520254329662995,0.7296173792006699,0.8228101750325535,0.8138460992164052,True,0.7296173792006699,10.705864704,1e-05,1e-05
10,joint_finetune,670.2997031211853,0.09763760259463673,4200,1050,0.07852731330054147,0.0314109253202166,0.19248048384274755,0.01539843870741981,0.07188625813240097,0.008626350975888115,0.00562257931279462,0.0002811289656397309,0.0037000185223518027,0.00011100055567055402,0.0832644025786292,0.00999172830943549,0.07292088940384842,0.008750506728461806,0.2883440495246933,0.02306752396197544,0.16965361423435665,0.21530735329503103,0.09817880194102015,0.04559371430249441,0.0358723275254791,0.13065647724128904,0.0362674333967845,0.10957434564828873,0.17127129006243888,0.17191434252474988,0.1242098551332241,0.1810901389945121,0.22528805577329228,0.39740735493245577,0.3391809667646885,0.47973165191355205,0.5050027629875001,0.06568837756202335,1.0,0.4,0.05237048012869699,1.0,0.08,0.027770130520775205,1.0,0.12,0.0036801102047874816,1.0,0.05,0.0006873766581217448,0.9035714285714286,0.03,0.007143571944463821,0.9997619047619047,0.12,0.013515313466389975,0.995,0.12,0.004628087955504834,0.9959523809523809,0.08,0.0001,0.13068352825939655,0.8228871647831341,0.9028393865300287,0.8228871647831341,0.9028393865300287,0.8219428827409109,0.9022707468242791,0.790653303098622,0.8830892074199312,0.9130031013198647,0.8928994689922743,0.8228871647831341,0.24378141779221515,0.3920004179270365,0.24702398924959695,0.9489056522362941,0.9419065483901554,0.6570685531349135,0.7930493302668051,0.7806448184528011,0.8058544248464207,0.5087376545483621,0.25112432033913923,0.4014378367628048,0.6602818061764741,0.2883850142872262,0.720694087290428,1.3609515773428781e-05,2.72186611140598e-05,0.07692307692307693,1.361173876350965e-05,0.11125,0.5691101869026086,0.7253922530781863,0.6119821275681985,0.890397159342387,0.8694715047856976,0.6688251056309031,0.8015520660303732,0.6968701322702432,0.9432435426464072,0.8431488310019977,0.4370353188141403,0.6082457586008219,0.4888713002817326,0.8047535489575185,0.4194654016249167,0.6386582345298035,0.5858520951868215,0.6174593426838764,0.4905812162936672,0.6920540960057732,0.3640761685959176,0.2486782537119701,0.0982269768833695,0.03960223073305113,0.729025064312888,0.8228871647831341,0.8138460992164052,True,0.729025064312888,10.705864704,1e-05,1e-05
