epoch,train_loss,common_val_loss,common_val_dice_at_0_5,common_val_iou_at_0_5,common_val_empty_predictions_at_0_5,learning_rate,seconds_elapsed,epoch_order_sha256
1,0.8028013797317233,0.3671817047212591,0.6432026634308974,0.4740594973876842,1,0.0001,321.37122586499936,641ab19820121466512db0f0da646af17f53d9ceb918a4e3fe0ed9e9d586822c
2,0.3448583240168435,0.2766579329667978,0.7360521900979498,0.582343815410377,0,0.0001,930.8363574279992,834ee1764de564549856ebd2f095eaa2b19303daa507ca6da6f322e740a60b5c
3,0.2799570085321154,0.271135033824336,0.7389785256183101,0.5860158138707745,0,0.0001,1438.6734346480007,f9f16784c2bdc26f8a9ecc7477012ccbab3f040ecbfff5f82d9f8fd9cc3f6814
4,0.26136081326575505,0.24274965386893882,0.7640709847285869,0.618215913120864,0,0.0001,1935.3542701829992,bb20bd0d357c400ac855400b8cae6d0e6c55e95368671b17440b8292c14908bc
5,0.24925723405111402,0.23947014431258543,0.7601615702244875,0.6131134121742975,0,0.0001,2436.214079984,33bfa6606d41458a6770f93d10fa7a9c4fc701c7ad4362ea29c9f42ef9ae1448
6,0.2438908700574012,0.22997715694820461,0.7740678461998476,0.6314116517789236,0,0.0001,2864.7953488519997,2e81e00450dd36e1f513393d5455ea9b792871eb2afef1322bfcbc383dcb3e72
7,0.23419207633960815,0.22331041412137861,0.7796079026810785,0.6388175606788986,0,0.0001,3368.0772635270005,1355ff10fede2256b9db03f8d1250f232bfa2d6f49c7e525292d50fb43a55dcb
8,0.23164581815401714,0.24624681008521038,0.7467181458619088,0.5958102268826375,0,0.0001,3846.8552751069983,c6c2d491cfcefd7fe6fd1d099e14d2477756b463cc90675ea6efafc7e6911634
9,0.22704829329536075,0.2249081107839268,0.7729192973641238,0.6298846487470839,0,0.0001,4262.130124861,7c2f01c5d79f0e84c55e01af085d4077c1db26b94ba01af0bfadd2c226da86f9
10,0.2215116128609294,0.21812393482606016,0.7826977922633294,0.6429773866249687,0,0.0001,4682.807161829001,0bc1e03ac9e709e8f30e182108f720c8bc8a748de75495e8f5b38383c81122c5
11,0.21852893170856294,0.2178961215306766,0.7842430765479229,0.6450656882307578,0,0.0001,5171.581655621001,b669fa49d4eb8343a09fb87af3de63fff938230fd64828204b52d0c4b2583bb1
12,0.2167262605684144,0.22058548879383796,0.7836197156973509,0.644222638109101,0,0.0001,5660.500512666,60b5d9eaa61b715f34454cfe33a1be009ab2987c688e3f212287354a714f40fc
13,0.21198329658735365,0.21564015296835395,0.786798617783901,0.6485309276079889,0,0.0001,6094.6524797329985,05b1e19e560510a6bb5cbe4a7c7d65f4cb7e31135efddaf4c8cd8f8e7c0b9774
14,0.20777807528064365,0.21751355780428977,0.788006019516499,0.6501732122482485,0,0.0001,6581.7354341499995,68c42cc29b84f58880a09572d0ebb1ef96831de27560584db1d64c12c2361aa5
15,0.2061408096693811,0.21502947088462024,0.7854610042359615,0.6467153438262773,0,0.0001,7065.921827980001,adfa57f0c765ea152061b8e203ff2928e8348396447453087f2f2ac5870ebd79
16,0.20343899076893215,0.20818007052244253,0.7918815287769014,0.6554667837957986,0,0.0001,7496.351755601001,b5b91f3bc52205fabcc68ff1406d84177578a06afb8fc3575f98953b5555fd08
17,0.2013927473908379,0.21071356954287046,0.787952601368552,0.6501004847320727,0,0.0001,7976.069976889001,587968cbb58eddf310a9f1750f243bec0e0f27b9534a009a3b96f64905490010
18,0.19716942432380857,0.20974114417430745,0.7908428009904517,0.6540446532826759,0,0.0001,8384.821355469001,dfc95ce094b2464661ca6412ad048b6af675648c16ee8e5101001f436e77d79f
19,0.19613121667078562,0.20777025773896643,0.7918161798707171,0.6553772420044394,0,0.0001,8794.425476841,0fa3ea6451c11e68487cce23f592bbfc48c77d6ef06b4018733304bb6a67cef4
20,0.1936733334972745,0.203244145341854,0.7989344533642307,0.6651880537261907,0,0.0001,9207.959347954002,8064654742294efb9d46df598d81136ffe410e45e6b8b151a3f8c13bf5a92e6d
