arm,reference,threshold,scientific_label,validation_loss,micro_dice,macro_dice,micro_iou,macro_iou,precision,recall,f1,false_positive_rate,false_negative_rate,positive_plan_dice,positive_plan_iou,empty_prediction_rate,prediction_foreground_ratio,opening_instance_precision,opening_instance_recall,opening_instance_f1,fragmentation_rate,merge_rate,boundary_f1
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.1,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.76299234796617,0.7551150455574536,0.6168048732048614,0.6255077421630523,0.7633382019642407,0.7626468072258844,0.76299234796617,0.001131326794597741,0.23735319277411562,0.7551150455574536,0.6255077421630523,0.0,0.004757588832222636,0.7815871493646608,0.8603853259435207,0.8190954773869347,0.007653734494589602,0.003356509230400384,0.7903762749626052
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.2,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7636556298933542,0.7553839868155033,0.6176722670136655,0.6259312602459657,0.7717399347205893,0.7557389422835002,0.7636556298933542,0.0010695084474496908,0.24426105771649978,0.7553839868155033,0.6259312602459657,0.0,0.0046631702825651695,0.7931286549707602,0.8590657165479019,0.8247814519194222,0.007389812615465822,0.0026803118908382065,0.791941381851875
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.3,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7639386142140396,0.7554037088978112,0.6180426174613347,0.6260024055952276,0.7771553636020982,0.751163890705983,0.7639386142140396,0.0010305818608828707,0.248836109294017,0.7554037088978112,0.6260024055952276,0.0,0.004602643113639487,0.799803004186161,0.8572182633940354,0.827515923566879,0.006861968857218264,0.002462447672986949,0.7929895881454074
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.4,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7639988888545943,0.7552759944845227,0.6181215226793723,0.6258431937663176,0.7814288269896558,0.7473295425954813,0.7639988888545943,0.0010001590288777778,0.2526704574045187,0.7552759944845227,0.6258431937663176,0.0,0.004554106362500981,0.8079701120797012,0.8561625758775403,0.831368528959508,0.006598046978094484,0.00224159402241594,0.7936635011185765
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.5,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7640717745786996,0.7551542785394522,0.6182169472812586,0.6257369644999421,0.7854153871002706,0.7438574950938459,0.7640717745786997,0.0009723942220811072,0.2561425049061541,0.7551542785394522,0.6257369644999421,0.0,0.0045099402192849015,0.81,0.8551068883610451,0.8319424829888304,0.006070203219846925,0.00225,0.7940825416634107
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.6,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7638341809599787,0.7547384787509381,0.6179059226481082,0.6252450794603511,0.7892170015648378,0.7400332108891461,0.7638341809599787,0.000945679142631241,0.2599667891108539,0.7547384787509381,0.6252450794603511,0.0,0.004465141488080048,0.8147681451612904,0.8532594352071787,0.8335696789996132,0.006070203219846925,0.0022681451612903227,0.7941948757603793
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.7,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7635398906430593,0.7542647126223218,0.6175208442754873,0.6246870338479752,0.7932470778121989,0.7359774568510039,0.7635398906430593,0.0009178276610995131,0.26402254314899615,0.7542647126223218,0.6246870338479752,0.0,0.004418109529581501,0.8227654698242933,0.8527315914489311,0.8374805598755832,0.006070203219846925,0.002037178507766743,0.7943485379683408
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.8,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7630972941853771,0.7535578992336727,0.6169420525948336,0.6238575544469472,0.798123726791063,0.731015951290696,0.7630972941853771,0.0008846986512554109,0.2689840487093041,0.7535578992336727,0.6238575544469472,0.0,0.0043615120739194015,0.8261984106639323,0.8506202164159409,0.8382314694408322,0.005278437582475587,0.0017944116893104333,0.7944214247787049
A_candidate_v3_1,COMMON_CONSENSUS_VALIDATION_SUBSET,0.9,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24274909368490574,0.7622795949742883,0.7524145492051034,0.6158738208395725,0.6224692166660802,0.8054041337590321,0.7235384692799275,0.7622795949742883,0.0008364400848807607,0.27646153072007246,0.7524145492051034,0.6224692166660802,0.0,0.004277876274070548,0.8307891332470893,0.8474531538664555,0.8390384112882153,0.007125890736342043,0.0018111254851228978,0.7941734494843424
A_candidate_v3_1,REFERENCE_V31,0.1,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7629259936089675,0.754487849548971,0.6167181507876666,0.6249770861064342,0.7629321152962747,0.7629198720198991,0.7629259936089675,0.00113243614583244,0.2370801279801009,0.754487849548971,0.6249770861064342,0.0,0.004754133224487304,0.7811158798283262,0.8596168984518499,0.8184884447220486,0.007609551298871687,0.0033381020505484026,0.7901201854491997
