scientific_label,reference,metric,arm_A,arm_B,B_minus_A
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,empty_prediction_rate,0.0,0.0,0.0
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,prediction_foreground_ratio,0.004506587982177734,0.0044287109375,-7.787704467773424e-05
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,opening_instance_precision,0.8097488187018155,0.8151281413286887,0.00537932262687324
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,opening_instance_recall,0.8543689320388349,0.8596168984518499,0.005247966413014948
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,opening_instance_f1,0.8314606741573034,0.8367816091954022,0.0053209350380988285
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,fragmentation_rate,0.0060351613749672,0.007347152978220939,0.0013119916032537388
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,merge_rate,0.002238249191743347,0.0032346354814630504,0.0009963862897197032
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V31,boundary_f1,0.7938506980001198,0.7952088915962457,0.0013581935961259894
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,validation_loss,0.24338450159826788,0.23514557943868644,-0.008238922159581441
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,micro_dice,0.7640621379619283,0.7630956102353414,-0.0009665277265868966
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,macro_dice,0.7545902229671665,0.7597246446843278,0.005134421717161275
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,micro_iou,0.6182043300315954,0.616939851252798,-0.0012644787787973177
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,macro_iou,0.6252608553070682,0.6307205897056974,0.005459734398629235
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,precision,0.7850534334991006,0.791138368246968,0.006084934747867421
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,recall,0.7441641675777058,0.7369728092434531,-0.007191358334252662
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,f1,0.7640621379619283,0.7630956102353414,-0.0009665277265868966
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,false_positive_rate,0.0009733028993115454,0.0009294063856539179,-4.3896513657627474e-05
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,false_negative_rate,0.25583583242229424,0.26302719075654696,0.007191358334252718
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,positive_plan_dice,0.7545902229671665,0.7597246446843278,0.005134421717161275
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,positive_plan_iou,0.6252608553070682,0.6307205897056974,0.005459734398629235
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,empty_prediction_rate,0.0,0.0,0.0
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,prediction_foreground_ratio,0.004506587982177734,0.0044287109375,-7.787704467773424e-05
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,opening_instance_precision,0.8097488187018155,0.8151281413286887,0.00537932262687324
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,opening_instance_recall,0.8543689320388349,0.8596168984518499,0.005247966413014948
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,opening_instance_f1,0.8314606741573034,0.8367816091954022,0.0053209350380988285
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,fragmentation_rate,0.0060351613749672,0.007347152978220939,0.0013119916032537388
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,merge_rate,0.002238249191743347,0.0032346354814630504,0.0009963862897197032
EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,REFERENCE_V32,boundary_f1,0.7938506980001198,0.7952088915962457,0.0013581935961259894
