epoch,train_loss,common_val_loss,common_val_dice_at_0_5,common_val_iou_at_0_5,common_val_empty_predictions_at_0_5,learning_rate,seconds_elapsed,epoch_order_sha256
1,0.809761937828291,0.4293954302018611,0.06830769286540131,0.03536158041998232,0,0.0001,332.81739424599994,641ab19820121466512db0f0da646af17f53d9ceb918a4e3fe0ed9e9d586822c
2,0.36881303270657856,0.2732760269737723,0.7418609566734424,0.5896494195998716,1,0.0001,819.8470470199999,834ee1764de564549856ebd2f095eaa2b19303daa507ca6da6f322e740a60b5c
3,0.2868944286306699,0.2586199382142206,0.7446067596502802,0.5931263095242191,0,0.0001,1238.5035032399996,f9f16784c2bdc26f8a9ecc7477012ccbab3f040ecbfff5f82d9f8fd9cc3f6814
4,0.2663538417929695,0.24389531085239582,0.7603121772544625,0.6133093858828093,0,0.0001,1673.051425696,bb20bd0d357c400ac855400b8cae6d0e6c55e95368671b17440b8292c14908bc
5,0.25343189856835774,0.23466352481937888,0.7626065004733354,0.616300716599087,0,0.0001,2151.678022084,33bfa6606d41458a6770f93d10fa7a9c4fc701c7ad4362ea29c9f42ef9ae1448
6,0.2439237948258718,0.23155219695675913,0.770988581698662,0.6273241812222329,0,0.0001,2581.135351129,2e81e00450dd36e1f513393d5455ea9b792871eb2afef1322bfcbc383dcb3e72
7,0.23724872190327873,0.22656148252774722,0.7728957957060503,0.629853432985961,0,0.0001,3038.788857082,1355ff10fede2256b9db03f8d1250f232bfa2d6f49c7e525292d50fb43a55dcb
8,0.2304152626650674,0.2240514057365494,0.7779517205690425,0.6365965515955662,0,0.0001,3526.194128725,c6c2d491cfcefd7fe6fd1d099e14d2477756b463cc90675ea6efafc7e6911634
9,0.2290855685586021,0.2204520022449781,0.7822701561786112,0.6424004143018697,0,0.0001,3956.474085195,7c2f01c5d79f0e84c55e01af085d4077c1db26b94ba01af0bfadd2c226da86f9
10,0.2224522626399994,0.2203915788600193,0.781043374061156,0.640747469959888,0,0.0001,4386.839527397,0bc1e03ac9e709e8f30e182108f720c8bc8a748de75495e8f5b38383c81122c5
11,0.2183744391798973,0.21937380603809453,0.7861363171181006,0.6476314665347692,0,0.0001,4839.3380905369995,b669fa49d4eb8343a09fb87af3de63fff938230fd64828204b52d0c4b2583bb1
12,0.21382858611288524,0.21965662917899126,0.7840353941784878,0.6447847169439518,0,0.0001,5279.948443128,60b5d9eaa61b715f34454cfe33a1be009ab2987c688e3f212287354a714f40fc
13,0.21093083698125112,0.2117403691737496,0.7870399631488455,0.648858939484933,0,0.0001,5685.829735102,05b1e19e560510a6bb5cbe4a7c7d65f4cb7e31135efddaf4c8cd8f8e7c0b9774
14,0.2091978290393239,0.2152057710903973,0.7901327231692218,0.6530738852933999,0,0.0001,6152.759424323,68c42cc29b84f58880a09572d0ebb1ef96831de27560584db1d64c12c2361aa5
15,0.20390960203749792,0.21570531462305156,0.7798189427126555,0.639101007227826,0,0.0001,6603.446654589,adfa57f0c765ea152061b8e203ff2928e8348396447453087f2f2ac5870ebd79
16,0.20163956802515756,0.2118176316196595,0.7884983151234907,0.6508437627173946,0,0.0001,7012.839916366,b5b91f3bc52205fabcc68ff1406d84177578a06afb8fc3575f98953b5555fd08
17,0.19806614729620162,0.20892666437518057,0.7935073985020937,0.6576976912389882,0,0.0001,7401.162513729,587968cbb58eddf310a9f1750f243bec0e0f27b9534a009a3b96f64905490010
18,0.19638244576397396,0.20848721340673054,0.7906305714807139,0.6537543887220113,0,0.0001,7838.920494331999,dfc95ce094b2464661ca6412ad048b6af675648c16ee8e5101001f436e77d79f
19,0.19637532120659237,0.2078314753034007,0.7921510473214523,0.6558361834604929,0,0.0001,8242.790754974001,0fa3ea6451c11e68487cce23f592bbfc48c77d6ef06b4018733304bb6a67cef4
20,0.19263882312036695,0.2035718763892974,0.7980785535017109,0.6640022572413986,0,0.0001,8642.242950139002,8064654742294efb9d46df598d81136ffe410e45e6b8b151a3f8c13bf5a92e6d
21,0.19258295409736179,0.20248014094242497,0.7968578879440836,0.6623140192328746,0,0.0001,9076.691786352001,aff18495a209ee316721478a0d6b99f243bf7e2748be0df39443eeccdbcd54f0
22,0.1912483351855051,0.2032030278713859,0.7945410702155219,0.6591191541943088,0,0.0001,9469.913864141,3ebeac39d4d54ee5349b667da9c916391959ad1e8a91f043d3b338d5b63ca6aa
23,0.1886977470063028,0.19897669868253584,0.7971534587457237,0.6627224931905998,0,0.0001,9862.128772468,75f551fb053adf8a38985f967043ffea091276e70716c994e8edac8a9ecd773d
24,0.18822032692886534,0.20632225814177163,0.794056052262312,0.6584518739464928,0,5e-05,10241.297058415,103dbc92d80fa03abf60169048eee193f12cc11a734290d12ac6f3d5c65d0d40
25,0.17661215980847678,0.19878943182116177,0.7999594069528548,0.6666102893416268,0,5e-05,10628.637190267002,5879e38a57f44564f8c6dc72615f594ea8e2b92931bdf21d0dd2e04244135cc7
26,0.17378693224418731,0.19588395833370076,0.804000250201168,0.6722411525055934,0,5e-05,11051.963778339,0220053816e54dad58defa4db4a167196c6a40f949881f6e8b90d00b0e33e5c7
27,0.17077935170559655,0.1963921473852953,0.8059653836337417,0.6749933147553904,0,5e-05,11524.376604104002,ed1cf17dbe8206f019034ec9c6e53e1a3cd09dd9cd5587c06cca90334fc2270f
